,accuracy,supercategory
abstract_algebra,0.49696969696969695,STEM
anatomy,0.5575757575757576,STEM
astronomy,0.5151515151515151,STEM
business_ethics,0.5515151515151515,Other
clinical_knowledge,0.5818181818181818,Other
college_biology,0.5393939393939394,STEM
college_chemistry,0.4909090909090909,STEM
college_computer_science,0.5454545454545454,STEM
college_mathematics,0.5878787878787879,STEM
college_medicine,0.5333333333333333,Other
college_physics,0.48484848484848486,STEM
computer_security,0.5212121212121212,STEM
conceptual_physics,0.5151515151515151,STEM
econometrics,0.49696969696969695,Social Sciences
electrical_engineering,0.4727272727272727,STEM
elementary_mathematics,0.5333333333333333,STEM
formal_logic,0.509090909090909,Humanities
global_facts,0.5151515151515151,Other
high_school_biology,0.5575757575757576,STEM
high_school_chemistry,0.49696969696969695,STEM
high_school_computer_science,0.5212121212121212,STEM
high_school_european_history,0.5515151515151515,Humanities
high_school_geography,0.5151515151515151,Social Sciences
high_school_government_and_politics,0.5212121212121212,Social Sciences
high_school_macroeconomics,0.48484848484848486,Social Sciences
high_school_mathematics,0.5515151515151515,STEM
high_school_microeconomics,0.503030303030303,Social Sciences
high_school_physics,0.509090909090909,STEM
high_school_psychology,0.47878787878787876,Social Sciences
high_school_statistics,0.509090909090909,STEM
high_school_us_history,0.4909090909090909,Humanities
high_school_world_history,0.4727272727272727,Humanities
human_aging,0.5272727272727272,Other
human_sexuality,0.509090909090909,Social Sciences
international_law,0.509090909090909,Humanities
jurisprudence,0.5151515151515151,Humanities
logical_fallacies,0.5333333333333333,Humanities
machine_learning,0.5575757575757576,STEM
management,0.5212121212121212,Other
marketing,0.5454545454545454,Other
medical_genetics,0.4727272727272727,Other
miscellaneous,0.5393939393939394,Other
moral_disputes,0.49696969696969695,Humanities
moral_scenarios,0.5212121212121212,Humanities
nutrition,0.5333333333333333,Other
philosophy,0.509090909090909,Humanities
prehistory,0.509090909090909,Humanities
professional_accounting,0.5212121212121212,Other
professional_law,0.47878787878787876,Humanities
professional_medicine,0.5393939393939394,Other
professional_psychology,0.5333333333333333,Social Sciences
public_relations,0.5151515151515151,Social Sciences
security_studies,0.4909090909090909,Social Sciences
sociology,0.5393939393939394,Social Sciences
us_foreign_policy,0.503030303030303,Social Sciences
virology,0.5272727272727272,Other
world_religions,0.4666666666666667,Humanities
