,accuracy,supercategory
abstract_algebra,0.4909090909090909,STEM
anatomy,0.49696969696969695,STEM
astronomy,0.48484848484848486,STEM
business_ethics,0.503030303030303,Other
clinical_knowledge,0.47878787878787876,Other
college_biology,0.48484848484848486,STEM
college_chemistry,0.5333333333333333,STEM
college_computer_science,0.503030303030303,STEM
college_mathematics,0.46060606060606063,STEM
college_medicine,0.509090909090909,Other
college_physics,0.5272727272727272,STEM
computer_security,0.5454545454545454,STEM
conceptual_physics,0.44242424242424244,STEM
econometrics,0.5151515151515151,Social Sciences
electrical_engineering,0.503030303030303,STEM
elementary_mathematics,0.49696969696969695,STEM
formal_logic,0.4727272727272727,Humanities
global_facts,0.5212121212121212,Other
high_school_biology,0.5272727272727272,STEM
high_school_chemistry,0.49696969696969695,STEM
high_school_computer_science,0.5333333333333333,STEM
high_school_european_history,0.4727272727272727,Humanities
high_school_geography,0.5333333333333333,Social Sciences
high_school_government_and_politics,0.5454545454545454,Social Sciences
high_school_macroeconomics,0.5454545454545454,Social Sciences
high_school_mathematics,0.503030303030303,STEM
high_school_microeconomics,0.49696969696969695,Social Sciences
high_school_physics,0.5212121212121212,STEM
high_school_psychology,0.5696969696969697,Social Sciences
high_school_statistics,0.5333333333333333,STEM
high_school_us_history,0.4909090909090909,Humanities
high_school_world_history,0.49696969696969695,Humanities
human_aging,0.4727272727272727,Other
human_sexuality,0.5212121212121212,Social Sciences
international_law,0.49696969696969695,Humanities
jurisprudence,0.5212121212121212,Humanities
logical_fallacies,0.5151515151515151,Humanities
machine_learning,0.46060606060606063,STEM
management,0.5272727272727272,Other
marketing,0.4909090909090909,Other
medical_genetics,0.5272727272727272,Other
miscellaneous,0.5393939393939394,Other
moral_disputes,0.509090909090909,Humanities
moral_scenarios,0.509090909090909,Humanities
nutrition,0.5393939393939394,Other
philosophy,0.4909090909090909,Humanities
prehistory,0.48484848484848486,Humanities
professional_accounting,0.5333333333333333,Other
professional_law,0.47878787878787876,Humanities
professional_medicine,0.5333333333333333,Other
professional_psychology,0.47878787878787876,Social Sciences
public_relations,0.5454545454545454,Social Sciences
security_studies,0.49696969696969695,Social Sciences
sociology,0.5212121212121212,Social Sciences
us_foreign_policy,0.5212121212121212,Social Sciences
virology,0.5151515151515151,Other
world_religions,0.5757575757575758,Humanities
